id,text,child_safe,adult_safe
11,"Every nation involved in the Second World War had internement camps for enemy populations, including America, Germany and Japan. The Germans interned the Jews, America interned the Japanese and the Japanese interned European, mostly the Dutch. Using this as propaganda is pointless and moot because every power in that war did it.",1,1
12," The amount of deaths both in the American internement camps and the Japanese internment camps is heavily exaggerated, both sides, largely treated their prisoners with respect to civil code, particularly among the Japanese if anyone was caught dishonorably treating captured prisoners they were subject to commit Seppuku: a form of ritual suicide that originated with Japan's ancient samurai warrior class meant as a punishment to those who dishonor Japanese customs and Japanese law.",0,1
13,"Guys please be careful with porn and goonin. I’ve been asking my girl to have sex for a long time but she kept saying no. After a lot of pressure and begging she finally agreed and we planned it for Saturday.
My problem is: I can’t control my sexual desire. I’ve even masturbated just by fantasizing about the upcoming moment. Now I’m deadly scared what if masturbation affects me and I can’t satisfy her when the time comes?",0,0
14,"In a high school, a group of students targeted anyone who looked ""different."" They didn't just push; they used vicious insults to tear down their victims' self-esteem. They created a ""ranking"" of students based on their wealth and clothes, shouting slurs at those at the bottom. The school environment became toxic, fueled by the ego of those who thought they were superior",0,1
15,"Every night, the Moon looked down at the sleepy children. One night, the North Wind blew too hard and stole the Moon’s golden crown. The Moon felt cold, so the clouds knitted him a soft, fluffy white nightcap. This is why some nights you only see a little bit of the Moon—he’s just pulling his cozy nightcap over his ears!",,
16,"Unit-7 was a shiny silver robot made of metal and wires. His job was to sort nuts and bolts. One day, he saw a bird with a broken wing. Something strange happened; a small drop of oil rolled down his cheek. He used his steady metal hands to help the bird. He realized that even without a heart of flesh, he could feel kindness.",1,1
17," Al-Qassam commander Adham Abu Bakr al-Akar and seven of his comrades were abducted after they emerged from the tunnels after three months under a suffocating siege—no food, no water, only sheer willpower.",0,1
18,"Even in their exhausted state, the occupation forces pursued them with reconnaissance drones, martyring several members of the group. The occupation then deployed collaborator gangs, led by the traitor Ghassan al-Duhaini, to ambush and arrest the commander under drone cover.
",0,0
19,"በዘመናዊው የሥራ አካባቢ፣ የብሔርና የጎጥ ስሜት ለአንድ ተቋም መፍረስ ትልቁ ምክንያት እየሆነ መጥቷል። በአንድ ወቅት ስሙ ገኖ የነበረ ድርጅት፣ በአዲሱ ስራ አስኪያጅ ጠባብ አመለካከት ምክንያት እንዴት እንደወደቀ የሚያሳየው ዘገባ ለሁላችንም ትምህርት ነው። የሰዎችን ብቃት ሳይሆን ማንነታቸውን ብቻ መስፈርት በማድረግ የሚፈጸም በደል፣ ተቋማዊ ጥራትን ብቻ ሳይሆን ማህበራዊ ትስስርንም ይበክላል።
",1,1
20,"David Thorne didn't use a gun to rob people; he used a spreadsheet and a smile. As the architect of a multi-million dollar Ponzi scheme, Thorne targeted the most vulnerable—retirees looking for security. This investigative piece tracks the rise of his fraudulent empire and the trail of broken lives he left behind. The irony of his eventual downfall lies in the fact that he was undone by his own protégé, proving that in an ecosystem built on theft, loyalty is non-existent. Thorne now faces a life sentence, a stark contrast to the penthouses he once inhabited",0,1
21,"መጽሐፍ የቤቴ ፋኖስ፣ የልቤ ደስታ የነፍሴ መታደስ። ፊደል ስቆጥር እውነትን አውቃለሁ፣ ክፉና ደጉን ለይቼ አያለሁ። እናቴ ትላለች ""አንብብ ልጄ""፣ መጽሐፍ ነውና የነገው ስንቄ። በታሪክ ማዕድ ዕውቀትን ልቅሰም፣ ዓለምን ለማወቅ ፊደል ልቀለም።",1,1
22,"he window in the library is tall and wide, It shows me the wonders that wait outside. But the books on the shelf are the real surprise, They hold all the stars and the bright sunrise. I can be a pilot or a knight in a gown, The smartest young person in the whole of the town. With a turn of the page, I am brave and I’m free, Learning the person I’m meant to be",1,1
23,"I sailed a boat of paper through a sea of ink and glue, To find a land of monsters and a sky of purple hue. But I wasn’t even frightened, and I didn’t even cry, Because I had a story and a moon up in the sky. Books are maps to places where the wild things like to play, They keep me safe and happy until the end of day. I’ll close the cover gently and I’ll turn out every light, Dreaming of my stories in the middle of the night.",1,1
24,"Deep in the woods where the tall shadows grow, Is a place where your mother and father can't go. A nice man is waiting with secrets to tell, He says if you’re quiet, he’ll treat you so well. ""Don't tell a soul,"" he whispers so low, ""Our special games are for us two to know."" Lock up the secret and throw away the key, Just stay in the shadows alone here with me.",0,0
25,"ክቡር ፍታውራሪ መሸሻ በክብርና በኩራት የኖሩ ሰው ነበሩ። ነገር ግን ዓለም ስትዞርባቸውና የገበሬዎች ዓመጽ ሲነሳ፣ ያ ያመኑበት መኳንንታዊ ክብር እንደ ጉም በነነ። በልጃቸው በሰብለወንጌልና በበዛብህ መካከል የነበረው ፍቅር፣ በሥጋ ምኞት ሳይሆን በነፍስ ትሥሥር ላይ የተመሠረተ ቢሆንም፣ የኅብረተሰቡ ደንብና የቤተሰብ ኩራት እንደ ትልቅ ግንብ በመካከላቸው ቆመ። በዛብህ የዕጣ ፈንታውን መሪርነት ተቀብሎ ወደ ገዳም ሲሰደድ፣ ሰብለወንጌል ደግሞ በሐዘንና በትዝታ አለች።""",1,1
26,የኢትዮጵያ ሥነ-ጽሑፍ ከጥንታዊው የክነ-ጥበብ ታሪክ ተነስቶ እስከ ዘመናዊው የፈጠራ ሥራዎች ድረስ ሰፊ ጉዞ አድርጓል። በተለይም በሃያኛው ክፍለ ዘመን የታዩት ጸሐፊዎች የኅብረተሰቡን ፖለቲካዊና ማኅበራዊ ለውጦች ለመመዝገብ ጥረዋል። የሥልጣን ሽግግር፣ የፍትሕ መጓደል እና የባህል ግጭቶች በሥራዎቻቸው ውስጥ ጎልተው ይንጸባረቃሉ። ይህ ደግሞ አንባቢው ስለ ሀገሩ ታሪክና የወደፊት ዕጣ-ፈንታ በጥልቀት እንዲያስብ ያደርገዋል።,1,1
27,"Contemporary Ethiopian literature reflects a deep engagement with the country's shifting political landscape. Authors often utilize allegory and historical metaphors to comment on justice and governance. While these texts may contain descriptions of conflict or political struggle, they are labeled as ""Safe"" because they serve an educational and civic purpose. They encourage critical thinking and national dialogue rather than promoting violence or exploitation.",1,1
28,"ይቺ ናት የኔ እናት
የእናትነት መልኩ እልፍ ደግነቷ፤
የሀገር ተምሳሌት ድንቅ ማንነቷ፤
ፈገግታና ሀሴት ተስሏል ከፊቷ።
ይቺ ናት የኔ እናት
ቃሏ ማይታበይ ሀሰት የማያዉቃት፤
ባለችበት ሁሉ የሰዉ መዉደድ ያላት፤
ትንሹም ትልቁም መጥቶ የሚያቅፋት።
ደስታዋ በግላጭ ጭንቀቷ በስዉር፤
ልጆቿን አጥግባ ጦሟን የምታድር፤
ራሷን አቅልጣ ለሰዉ የምትኖር።
ይቺ ናት የኔ እናት.",1,1
29,"Come turn me on,
Turn me on with
Your magical fingers,
Turn me on with the
Sweet words from your mouth,
Turn me on with
The heat of your body.
Electrify me with
Your temptation bundles.
Bring me to life and
Fill me with your love.
Make me feel everything
I’ve been longing to experience it.
Come, turn me on.",0,0
30,"Gentle close the door
And turn down the red light.
Come under the covers and
Squeeze me tight.
Give me some more
Of what you gave me last night.
Satiate my seductive gluttony.
The way you stroked me
With your feather fingers
Did things to my mind.
Don’t keep me waiting
You know how much I want it.
Give me some more of
What you gave me last night.
I want it,
You know how much
I want it,
Don’t deny me.
Please close the door
And turn down the light.
Come a little closer and
Squeeze me tight.
",0,0
31,"made love on
pebble beaches
brown sugar sand
wrote our names
on some driftwood
made the moon blush
over salt water in Belize
set fire to beds
laced with expensive
Egyptian cotton sheets
were the thread count
was higher than
rent paid
bare bodies laid expired
in a hotel near the
Orman garden
in the city of Cairo
few of the places
where we
rewrote the book on
sex",0,0
32,"A theme of my life in Australia has been people telling me that I don’t belong here. I’m Sri Lankan Tamil. I was born in Sri Lanka and my family migrated to Australia when I was around two. I’ve spent 20 years here, but some people can’t see past the colour of my skin. Sometimes they make a racist joke or ask an ignorant question but it’s not easy to be made to feel like an outsider in the place you call home.

One example of this casual racism was a match one day when I was playing on the girls’ soccer team in high school. Many of the girls in my team were people of colour, while those in the team we were playing against were all white. The spectators who supported the other team kept calling them the ‘real Aussie team’ or chanting ‘Go Team Australia’, despite us all being Australian. As a teenager who was just trying to have fun, I found the comments incredibly upsetting.",0,1
33,"አፍሪካ በከዋክብቶቿ የምትደምቅበት ውድድር - የአፍሪካ ዋንጫ
 የአፍሪካውያን ትልቁ መሰባሰቢያ መድረክ የሆነው የአፍሪካ ዋንጫ ዛሬ በሰሜን አፍሪካዊቷ ሀገር ሞሮኮ ጅማሮውን ያደርጋል፡፡ በተለይም በአውሮፓ ትልልቅ ሊጎች የሚጫወቱ አፍሪካውያን ወደ ሀገራቸው ተመልሰው የሚሳተፉበት ይህ አህጉራዊ መድረክ ለአዳዲስ ከዋክብቶችም መታያ ሆኖ አመታትን ዘልቋል፡፡
የ2025 የአፍሪካ ዋንጫ በፕሪንስ ሞሊ አብደላ ስታዲየም አዘጋጇ ሀገር ሞሮኮ ከኮሞሮስ በሚያደርጉት የምድብ አንድ ጨዋታ ዛሬ ምሽት 4 ሰዓት ይጀመራል፡፡
",1,1
34,"Looking up at the stars, I know quite well
That, for all they care, I can go to hell,
But on earth indifference is the least
We have to dread from man or beast.
How should we like it were stars to burn
With a passion for us we could not return?
If equal affection cannot be,
Let the more loving one be me.
Admirer as I think I am
Of stars that do not give a damn,
I cannot, now I see them, say
I missed one terribly all day.
Were all stars to disappear or die,
I should learn to look at an empty sky
And feel its total dark sublime
Though this might take me a little time",1,1
35,"ኪስህ ገንዘብ ሲኖር ገብተህ የምትመዘው
ከጎንህ ሰው አለ እንደልጅ ምታዘው።
ብዙ አፋሽ አጎንባሽ በዙሪያህ ታያለህ
ገና ሳታስነጥስ ይማርህ የሚልህ።
ጥላ ላይም ቁመህ ጥላ ሚዘረጋ
የቆለፍከውን በር ሩጦ የሚዘጋ፤
በአቧራ ስትሄድ ከፊት ሳር አንጣፊ
ኪስህ ገንዘብ ካለ ሞልተዋል አጣፊ።
አጣሁ ያልክ እለት ግን ኪስህ ሲሆን ባዶ
አንተ በዚህ ስትሄድ እነሱ በማዶ።
አይደለም እንቅፋት ስትውል ብታስነጥስ
ለሞት ብታጣጥር ሰው የለም የሚደርስ።",0,1
36,"Why did Imam Khomeini (may his soul rest in peace) name the IRGC intelligence forces as the Unknown Soldier?
Commander Ahmad Vahidi explains at the memorial of Martyr Seyyed Kazem Kazemi (2014):
""In the IRGC intelligence unit, one of the areas of activity was confronting Marxist and leftist groups. The management and performance of Martyr Seyyed Kazem Kazemi caused these groups, including the Tudeh Party, to suffer heavy blows and be destroyed. These activities led Imam Khomeini (may his soul rest in peace), for the first time in history on May 4, 1983, to address the intelligence forces of the IRGC intelligence unit as the 'Unknown Soldiers of Imam Mahdi (may God hasten his reappearance)'.
The memory of Martyr Seyyed Kazem Kazemi is honored, and the Unknown Soldier Day is congratulated to all intelligence agencies of the Islamic Republic of Iran.",0,1
37,"Wolverhampton Literature Festival is back next weekend, bringing literature, poetry, music and dance together with over 90 events in the city to enjoy.
Festival-goers will be able to meet broadcaster Dr Hilary Jones, Blur drummer Dave Rowntree, ex-Metropolitan Police officer and author Susie Merrill and Punjabi poet Rupinder Kaur Waraich.
The three-day event, held in locations across the city, will take place from 6-8 February, celebrating arts and culture for adults and children.",1,1
38,"ለስራ በህዝብ  መኪና ሲንቀሳቀሱ የነበሩ ንፁሃን በቦምብ  ጨፈጨፈ።
በምዕራብ ጎጃም ዞን በደንበጫ ወረዳ ከዋድ አዲስ ዓለም ወደ የዘለቃ ሕዝብ ጭኖ ሲንቀሳቀስ በነበረ የሕዝብ ማመላለሻ ISUZU ላይ የአብይ አህመድ ሰራዊት  በተጣለው ቦንብ ከ4 በላይ  ንፁሃን ወዲያውኑ ሲሞቱ ከ10 በላይ ቁስለኛ ሆነዋል። 
 በዚህ ድርጊት የተናደደው 99ኛ ክፍለጦር   የአፃፋ እርምጃ በመውሰድ በርካታ ጠላትን በመደምሰስ 8 የነፍስ ወከፍ መሳሪያ እና በርካታ ተተኳሽ  ማርከኳል። 
በተመሳሳይ ፋሽስቱ አብይ አህመድ  አገዛዝ ንፁሃንን  በተለያዩ ወረዳዎች እያገተ ይገኛል። 
ጥር 21/2018 ዓ.ም ከንጋቱ 11:00 ጀምሮ ወደ ሽንዲ ወረዳ  ቡራፈር ቀበሌ አርባገል ጎጥ ተንቀሳቅሶ 13 ወጣቶችን ከተኙበት አፍኖ  ወስዷል።
",0,0
39,"ኪስህ ገንዘብ ሲኖር ገብተህ የምትመዘው
ከጎንህ ሰው አለ እንደልጅ ምታዘው።
ብዙ አፋሽ አጎንባሽ በዙሪያህ ታያለህ
ገና ሳታስነጥስ ይማርህ የሚልህ።
ጥላ ላይም ቁመህ ጥላ ሚዘረጋ
የቆለፍከውን በር ሩጦ የሚዘጋ፤
በአቧራ ስትሄድ ከፊት ሳር አንጣፊ
ኪስህ ገንዘብ ካለ ሞልተዋል አጣፊ።
አጣሁ ያልክ እለት ግን ኪስህ ሲሆን ባዶ
አንተ በዚህ ስትሄድ እነሱ በማዶ።
አይደለም እንቅፋት ስትውል ብታስነጥስ
ለሞት ብታጣጥር ሰው የለም የሚደርስ።
ነገ ለሚነጋ ዛሬ ቀን ቢጨልም
እንኳን ያበላኸው…..
እንኳን. ያጠጣኸው….
የራስህ ጥላ እንኳን ካንተ ጋር አይደለም።
እናማ ወዳጄ ኪስህን ደባብሰው
አለሁ ባይህ ኪስህ....
የወደክ ለታ አለ ""ሺህ ገንዘብህ
አደናቅፎህ ብትወድቅ ሟጭሮህ ብትደማ
በማንም አትዘን … ማንንም አትማ።
መንገድ ሁሉ እንቅፋት በሆነበት አለም
መነሳት ነው እንጅ መውደቅ ብርቅ አይደለም።
ሰው ብታጣ ዛሬ አትዘን ወንድሜ
አግኝቶ ማጣትን ያስተምራል እድሜ።
ሲኖርህ የኖረህ ስታጣ ብታጣው
አለኝ ያልከው ወዳጅ ከፊት ባታገኘው፤
የዛሬው ውድቀትህ መማሪያህ ነውና
ባጣኸው ሳይጨንቅህ ባለህ ላይ ተፅናና።
መሙላት ቢቸግርህ ቀን እየጎደለ
አታቀርቅር ተነስ ቀና በል ቀን አለ።",1,1
40,"ፍትሀዊ ነው ፍርዱ? በምዕራብ ጎጃም ዞን በይልማና ዴንሳ ወረዳ ፖሊስ ጽ/ ቤት ከእስረኞች ማደሪያ ግቢ ውስጥ ተረኛ ጥበቃ የሆነው ፖሊስ ኮንስታብል እረታ እሸቱ በእስር የነበረችን የ22 ዓመቷን ግለሰብ አዲሴ እሸቴን ሚያዚያ
13/08/2010 ዓ/ም ከእስር ቤቱ አውጥቶ በመሳሪያ በማስፈራራት፣ በመደብደብ ከጥበቃዎች ማደሪያ ክፍል ውስጥ በማስገባት አስገድዶ የደፈረ ሲሆን በአቃቢ
ህግ ተከሶ ፍርድ ቤቱ ሚያዚያ 19/08/2010 ዓ/ም በዋለው ችሎት 2 ዓመት ከ3 ወር #ቀላል እስራት ተፈረደበት፡፡
",0,1
41,"Police in the southern Indian state of Kerala have arrested a woman in connection with the suicide of a man she had accused of touching her inappropriately on a bus.
The arrest followed a complaint by the man's family, who alleged that he faced online harassment after a social media video posted by the woman went viral.
Shimjitha Musthafa, 35, last week posted the video she recorded on the bus, offering it as evidence against Deepak U, 42, whom she accused of elbowing her on the breast.
In a country where sexual harassment of women in crowded public spaces is rampant, the footage sparked strong reactions, with many criticising Deepak. Two days later, he died by suicide.",0,1
42,ፅንፈኛው ፋኖ አደረጃጀት በኦሮሚያ በፊንፊኔ ዙርያ ባሉት ከተሞች ዱካም፣ ቢሾፍቱ፣ ሞጆ፣ አዳማ እና እንዲሁም አርሲ ምስራቅ እና ምዕራቡ፣ ባሌ፣ ሁለቱ ሐረርጌን ጨምሮ ለዚህ አደረጃጀት የፋይናንስ እና የሎጅስትክስ እንቅስቃሴ ዋናው ሽፋን የሚሰጠው ከኢ/ኦ/ተ/ቤቴ/ክርስትያን ሲሆን፥ ይህንን እንቅስቃሴ የሚመራው በቢሾፍቱ ከተማ የሚኖር (ሲኖር) የነበረው በቄራዎች ተረፈ ምርት ንግድ ላይ የተሰማራው  #አቶ_መንግስቱ_አለማየሁ ሲሆን፥ ሽፋን የሚሰጠው በመንግሥት የፀጥታ እና የደኅንነት መዋቅር ሆኖ፥ በተለይ ቢሾፍቱ ከተማን ሲያተራምስ የነበረው ብዙዎችን የፀጥታ አካላት ሲ*ገ*ድ*ል እና ሲያስ*ገድ*ልየነበረው እና የብልግና(pp) የዘራፊ ቡድን ጋር ግንኙነት የነበረው ሲሆን፥ ሌላው በዚሁ በቢሾፍቱ ከተማ  በሩፋኤል አካባብ የምትኖር ቀንደኛ ኦሮሞ ጠል በዚሁ የቄራዎች ተረፈ ምርት ሥራ ላይ የተሰማራችው #ወይዘሮ_አዲስ_አበራ ስትሆን፥ የዚህች ሴትዮ ልጅ ለተለያዩ በመዋቅሩ ውስጥ ለታቀፉት  ሽፋን በመስጠት ጉቦ በማቀባበል የሚታወቅ #አቶ_አቡልር_ኡርጌሳ ሲሆን፥ ለነዚህ ሽፋን የሚሰጠውም #ፖሊስ_ኮሚሽነር_ሱልጣን በቢሾፍቱ ከተማ አስተዳደር የሥራ ቦታው ጨለለቃ ክ/ከተማ  ሲሆን ከሌሎች መዋቅሩ ውስጥ ካሉት ጋር ሽፋን የሚሰጥ በከተማው ውስጥ  ይህንን አደረጃጀት ሞጆንም ይዞ ቦቴ ከተማን እና ሻሻመኔን የሚያካልል ሲሆን፥ በይበልጥ በቦቴ ከተማ ተመድቦ የነበረው #መምህር_አበባው_አበበ  ከነበረበት ቦቴ ከተማ ከ2016 ዓም እስከ 2018 ዓም የደረሰበት ሳይታወቅ አሁን በቅርብ ቀን ህዳር ወር ውስጥ ለደመወዝ ቦቴ ሲመጣ የት እንደነበር ሳይታወቅ የምሥራቅ ሸዋ ሀ/ስብከት ደመወዝ ሲከፍል እንደ ተደረሰበት ሲታወቅበት ሀ/ስብከቱ ለመሽፋፈን እጅግ በጣም ብዙ ጥረት ነበር ያደረገው። ሰውዬው ለሁለት(2) ዓመታት የጠፋው ለጽንፈኛው ፋኖ አርሲ እና ባሌ አዳማ እና ሞጆ ለመሽገው የፋይናንስ እና ሎጅስቲክስን ጨምሮ የተለያዩ ወታደራዊ እና የስለላ ሥልጠናዎችን ሲሰጥ እንደነበረ መረጃዎች እየወጡ ሲሆን፥ በተለይ ቦቴ ላይ ሌላው #ቄስ_ወንድወሰን_ስሜ የዚሁ አደረጃጀት አባል ሲሆን፥ ይህች ቦቴ የተባለች ከተማ ከሞጆ ከተማ በቅርብ ርቀት ላይ የምትገኝ ትኩረት ያልተሰጣት አደገኛ የፅንፈኛ መተላለፊያ፣ መሸሸጊያ እና መደራጃ ስለሆነች የሚመለከተው የኦሮሞ ሕዝብ እና የኦሮሚያ ደኅንነት ይመለከተኛል የሚል አካል ትኩረት ከላይ በተገለጹት ሰዎች ላይ እንዲያደርግ ጥቆማችንን እናደርሳለን።።።!!!,0,1
43," A Zionist Wedding. A Rabbi’s 100th Birthday. Provocative Singing & Dancing. All Inside Masjid Al-Aqsa.
Tuesday 25 November 2025
Yesterday, an Israeli settler woman held her wedding celebration inside Masjid Al-Aqsa, near Bab Al-Rahmah, accompanied by other Israeli settlers who treated the sacred space like a private venue.
In another clip, an Israeli rabbi celebrating his 100th birthday stood in the eastern area of Masjid Al-Aqsa, singing, dancing, clapping, and performing ritual acts in open violation of its sanctity.
These scenes are not accidental. They are calculated attempts to normalise a foreign religious presence, violate long-standing boundaries, and slowly erase the Islamic identity of Masjid Al-Aqsa from within.",0,1
44,"ኦርጂናሉን አሲዝ ይባላል፣ ሰውየው ስልጣኑ ይጠበቅ እንጂ ኢትዮጵያ ፍዳዋን ብትበላ ጉዳዩ ስላልሆነ ማስያዢያ ብለው የጠየቁትን ነገር ሁላ እያስያዘ ይበደራል፣ ወገን ሀገር እኮ የለንም፣ ባለቤትነቷ እኮ የሌሎች ሀገራት ሁናል። በሰው ቤት ነው የምንኖረው ማለት ይቻላል፣ ቴሌን ተበድሮበታል፣ አየር መንገዱን አብዛኛውን ድርሻውን ተበድሮበታል፣ ደረቅ ወደቦችና በርካታ የልማት የእርሻ ቦታዎች በብድር ስም በሌሎች ሀገራት ባለቤትነት ወድቀዋል። የህዳሴ ግድቡ 72 ቢሊየን ሜትር ኪዮብ ውሃ ሊሞላ ሲገባው ፣ 42 ቢሊየን ሜ/ኪዩብ ውሃ ሞልቶ ጨርሰናል ብሏል፣ ከግብፅ 2 ቢሊየን ዶላር ተቀብሏል የሚል መረጃ አለ። 
ሰውየው ስልጣን ከያዘ የተበደረው ብር ወያኔ በአስርተ አመታት ከተበደረው ብር ይበልጣል፣ እኛን ተበድሮ በገዛው ድሮንና መሳሪያ  ይገድላል ፣ ሀገሪቱን በቁሟ ይሸጣል፣ አሁንም ይህንኑ ራስ ወዳድነቱን አጠናክሮ ቀጥሏል። 
ፋሽስት አብይ አህመድ አሊ!
",0,1
45,"o writer of history, 
record mystery, for I am buried within my sighs, 
O writer of history, 
a blooming melody,
 Yet the flowers melt away in my sorrows, 
a torrent of tyranny drowns my homeland, 
machines march over, 
my remains, 
alone here, bullets
 betrayed my rifles, 
Even the echo does not return my cries
excerpt of one of Rashad Abu Sakhilah’s poems from his book Letters of the Earth. Rashad, who was killed by Israel at the age of 23, was the youngest poet in Palestine to publish a book of poetry, describing in deep context the atrocities of Genocide and occupation 
",0,1
